,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
6845,SimCity 3000 Unlimited,PC,Strategy,Maxis,Maxis,1,0,2000,5,1,0.75,0.872340425531915,0.5555555555555556,0.8194444444444444,1,868,1759,14,34
6846,SkyDrift,Xbox,Arcade,Digital Reality,Digital Reality,1,0,2011,9,2,0.75,0.8510638297872343,0.7083333333333334,0.7391304347826086,1,385,800,3,48
6847,NCAA Football 14,"PlayStation, Xbox",Sim,EA Tiburon,EA Sports,1,1,2013,7,1,0.75,0.6329787234042554,0.6388888888888888,0.5502152080344334,0,421,875,11,45
6848,Evolve,"PC, Xbox",Action,Turtle Rock Studios,2K Games,1,0,2015,2,4,0.7329545454545454,0.4680851063829788,0.6269644334160464,0.3189848235424144,0,15,3090,0,41
6849,Need for Speed: Hot Pursuit Remastered,"Nintendo, PC, Xbox",Arcade,Criterion Games,Electronic Arts,8,1,2020,11,2,0.7272727272727272,0.6382978723404257,0.6296296296296297,0.5531057178116002,0,438,665,3,14
6850,Cross Racing Championship 2005,PC,Racing,Invictus,Graphsim Entertainment,8,1,2005,10,1,0.75,0.7127659574468086,0.6666666666666666,0.5714285714285714,1,613,1443,8,34
6851,Disney Classic Games: Aladdin and the Lion King,"Nintendo, PlayStation",Miscellaneous,Digital Eclipse,Nighthawk Interactive,1,0,2019,10,2,0.7386363636363636,0.6063829787234043,0.5,0.48967741935483877,0,979,790,6,15
6852,Inazuma Eleven Go: Chrono Stones: Wildfire,Nintendo,Arcade,Level 5,Level 5,1,0,2015,3,3,0.75,0.8617021276595747,0.6666666666666666,0.875,1,808,1625,3,0
6853,MotoGP 21,"PlayStation, Xbox",Racing,Milestone S.r.l,Koch Media,22,1,2021,4,1,0.75,0.6607732568058335,0.6574675324675325,0.7352941176470589,0,786,1820,8,45
6854,Borderlands: The Pre-Sequel,"PlayStation, Xbox",Action,2K Australia,2K Games,4,1,2014,10,4,0.7329545454545454,0.7180851063829787,0.625,0.5776280160045265,0,15,27,0,45
6855,Transformers: War for Cybertron,"PlayStation, Xbox",Action,High Moon Studios,Activision,1,0,2010,6,3,0.7443181818181819,0.845744680851064,0.7396135265700483,0.7949763847144697,0,55,1303,0,45
6856,NHL 18,Xbox,Sim,EA Sports,Electronic Arts,1,0,2017,9,2,0.75,0.4255319148936171,0.75,0.2641509433962264,1,438,873,11,48
6857,Virtua Tennis 4: World Tour Edition,PlayStation,Sports,Sega,Sega,4,1,2012,2,1,0.75,0.8085106382978725,0.7428571428571429,0.7538461538461538,1,1272,2576,13,42
6858,Tropico 4,Xbox,Strategy,Haemimont,Kalypso,1,0,2011,10,3,0.75,0.7765957446808511,0.7222222222222222,0.6,1,772,1247,14,48
6859,Trajectile,Nintendo,Action,Q-Games,Nintendo,1,0,2010,1,1,0.75,0.7045252370159223,0.8,0.6579626660543807,1,983,2317,0,0
6860,Grandia III,PlayStation,Role-Playing,Game Arts,Square Enix,1,0,2006,2,3,0.75,0.8510638297872343,0.7105263157894737,0.7654320987654321,1,1354,1108,9,42
6861,Knights of Honor II: Sovereign,PC,General,Black Sea Studios,THQ Nordic,6,1,2022,12,3,0.75,0.6808510638297873,0.6363636363636364,0.5384615384615384,1,1410,368,5,34
6862,Relayer,PlayStation,General,Kadokawa,Clouded Leopard Entertainment,1,0,2022,3,3,0.75,0.6489361702127661,0.625,0.7142857142857143,1,281,1521,5,42
6863,Super Monkey Ball: Banana Mania,"Nintendo, Xbox",Miscellaneous,Sega,Sega,1,0,2021,10,2,0.7443181818181819,0.7500000000000001,0.671875,0.6306306306306306,0,1272,2576,6,21
6864,DOOM Eternal: The Ancient Gods Part Two,Xbox,Action,id Software,Bethesda Softworks,3,0,2021,3,4,0.75,0.723404255319149,0.7142857142857143,0.7,1,152,3400,0,48
6865,Day of Infamy,PC,Action,New World Interactive,New World Interactive,1,1,2016,7,3,0.75,0.8085106382978725,0.9,0.7894736842105263,1,972,1960,0,34
6866,Crusader Kings II: Sons of Abraham,PC,General,Paradox Development Studio,Paradox Interactive,1,0,2013,11,3,0.75,0.7872340425531916,0.42857142857142855,0.7454545454545455,1,1063,2138,5,34
6867,Secret Weapons Over Normandy,Xbox,Simulation,Totally Games,LucasArts,2,0,2003,11,3,0.75,0.9042553191489364,0.7096774193548387,1.0,1,832,3043,12,48
6868,Penny Arcade Adventures: Episode Three,PC,General,Zeboyd Games,Zeboyd Games,1,0,2012,6,3,0.75,0.7446808510638299,0.6111111111111112,0.6428571428571429,1,1640,3342,5,34
6869,Hard West 2,PC,Strategy,Ice Code Games,Good Shepherd Entertainment,1,0,2022,8,3,0.75,0.723404255319149,0.6578947368421053,0.6,1,605,1369,14,34
6870,Resident Evil: Revelations 2 - Episode 3: Judgment,"PlayStation, Xbox",Action Adventure,Capcom,Capcom,1,0,2015,3,4,0.7272727272727273,0.7287234042553192,0.7564935064935066,0.713596717642575,0,240,502,1,45
6871,Donkey Kong Country 3,Nintendo,Action,Rare Ltd.,Nintendo,1,0,2005,11,1,0.75,0.8404255319148937,0.75,0.8,1,983,2352,0,0
6872,The Gunstringer,Xbox,Action,Twisted Pixel Games,Twisted Pixel Games,1,0,2011,9,3,0.75,0.8297872340425533,0.7666666666666667,0.7446808510638298,1,1514,3095,0,48
6873,Soul Hackers 2,"PlayStation, Xbox",Role-Playing,Atlus,Sega,1,0,2022,8,4,0.7329545454545454,0.6755319148936171,0.5648148148148149,0.5989358164283338,0,1272,230,9,45
6874,Little Big Workshop,PC,Strategy,Mirage Game Studios,HandyGames,1,0,2019,10,3,0.75,0.7765957446808511,0.6363636363636364,0.6666666666666666,1,645,1836,14,34
6875,Battlestar Galactica Deadlock,PC,General,Black Lab Games,Slitherine,1,1,2017,8,3,0.75,0.7340425531914895,0.625,0.5,1,1314,359,5,34
6876,Doom 3: Resurrection of Evil,Xbox,Action,id Software,Activision,4,1,2005,10,4,0.75,0.872340425531915,0.7317073170731707,0.7796610169491526,1,55,3400,0,48
6877,Heavy Weapon: Atomic Tank,"PlayStation, Xbox",Action,PopCap,Microsoft Game Studios,4,1,2007,1,2,0.6818181818181819,0.7500000000000001,0.4592760180995475,0.4583333333333333,0,888,2264,0,45
6878,Mortal Kombat: Deception,Old Platform,Action,Midway,Midway,2,0,2005,3,4,0.75,0.8297872340425533,0.7142857142857143,0.7777777777777778,0,891,1806,0,22
6879,Summon Night: Swordcraft Story,Nintendo,Role-Playing,Flight-Plan,Atlus Co.,1,0,2006,7,2,0.75,0.8404255319148937,0.65,0.8,1,116,1016,9,0
6880,NFL Street 2,PlayStation,Arcade,EA Tiburon,EA Sports Big,4,1,2004,12,1,0.75,0.9042553191489364,0.6060606060606061,0.88,1,422,875,3,42
6881,Sleeping Dogs: Definitive Edition,PlayStation,Action Adventure,United Front Games,Square Enix,1,0,2014,10,4,0.75,0.8085106382978725,0.6470588235294118,0.6991452991452991,1,1354,3145,1,42
