,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
5200,Super Monkey Ball Jr.,Nintendo,General,Realism Ltd,THQ,4,1,2002,11,1,0.8068181818181819,0.7765957446808511,0.85,0.7368421052631579,1,875,1515,5,0
5201,WWE SmackDown! Shut Your Mouth,PlayStation,Action,Yuke's,THQ,6,1,2002,10,3,0.8068181818181819,0.8829787234042554,0.8518518518518519,0.8658536585365854,1,875,2126,0,39
5202,Hotline Miami Collection,Nintendo,Miscellaneous,Dennaton,Devolver Digital,1,0,2019,8,4,0.8068181818181819,0.8191489361702129,0.9090909090909091,0.7428571428571429,1,247,489,6,0
5203,Mario + Rabbids: Kingdom Battle - Donkey Kong Adventure,Nintendo,Strategy,Ubisoft Milan,Ubisoft,1,0,2018,6,2,0.8068181818181819,0.8404255319148937,0.9032258064516129,0.8260869565217391,1,948,1986,14,0
5204,Gemini Rue: Verschworung auf Barracus,PC,General,Wadjet Eye Games,Wadjet Eye Games,1,0,2011,2,3,0.8068181818181819,0.8510638297872343,0.875,0.8198198198198198,1,976,2069,5,31
5205,Azure Striker Gunvolt 3,Nintendo,Action,Inti Creates,Inti Creates,1,0,2022,7,3,0.8068181818181819,0.6808510638297873,0.8571428571428571,0.6153846153846154,1,474,940,0,0
5206,Tadpole Treble Encore,Nintendo,Action,BitFinity,BitFinity,1,0,2021,1,1,0.8068181818181819,0.797872340425532,0.9333333333333333,0.8333333333333334,1,116,227,0,0
5207,Sonic CD,Xbox,Action,Sega,Sega,1,0,2011,12,1,0.8068181818181819,0.7765957446808511,0.85,0.7662337662337663,1,791,1641,0,45
5208,Borderlands 3,"PC, Xbox",Action,Gearbox Software,2K Games,4,1,2019,9,4,0.8011363636363638,0.5585106382978725,0.8350943396226416,0.4704811281155343,0,11,756,0,38
5209,Pro Evolution Soccer 2015,"PC, PlayStation",Action,Konami,Konami,22,1,2014,11,1,0.8068181818181819,0.6436170212765958,0.8214285714285714,0.4975728155339806,0,507,1017,0,32
