,game_name,platform,genres,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,genres_labeled,platform_labeled
3929,Sherlock Holmes: Crimes & Punishments,"Nintendo, PC, PlayStation, Xbox","3D, Adventure, General, Third-Person",Frogwares,Focus Home Interactive,0,0,2014,9,4,0.7102272727272727,0.7294825788466655,0.5362103174603174,0.6293719729555094,0,598,1201,290,15
3930,Lover Pretend,Nintendo,"Adventure, Visual Novel",Idea Factory,Aksys Games,0,0,2022,12,3,0.75,0.705164357939853,0.8571428571428571,0.6566745598693725,1,77,1547,1066,0
3931,WRC Generations,"PC, PlayStation","Automobile, Racing, Simulation",KT Racing,Nacon,0,0,2022,11,1,0.7329545454545454,0.7553191489361704,0.575,0.6875,0,1106,1710,1218,40
3932,Blossom Tales 2: The Minotaur Prince,Nintendo,"Action Adventure, Open-World","Castle Pixel, LLC.",Playtonic Friends,0,0,2022,8,2,0.75,0.8085106382978725,0.75,0.75,1,1297,579,466,0
3933,Distant Worlds 2,PC,"General, Strategy",Code Force,Slitherine,0,0,2022,3,3,0.75,0.7021276595744682,0.7142857142857143,0.6363636363636364,1,1514,666,1628,39
3934,Steel Assault,"Nintendo, PC","2D, Action, Arcade, First-Person, Platformer, Shooter",Zenovia,Tribute Games,0,0,2021,9,2,0.7386363636363636,0.7234042553191491,0.6571428571428571,0.7321428571428572,0,1741,3776,88,11
3935,Audica,PC,"Action, Music, Rhythm",Harmonix Music Systems,Harmonix Music Systems,0,0,2019,11,3,0.75,0.705164357939853,0.5714285714285714,1.0,1,762,1429,964,39
3936,Just Dance 2019,"Nintendo, Xbox","Action, Dancing, Rhythm",Ubisoft Paris,Ubisoft,0,0,2018,10,1,0.7215909090909092,0.5957446808510639,0.6298076923076923,0.4007936507936508,0,1764,3523,815,25
3937,Life Goes On: Done to Death,PlayStation,"2D, Action, Platformer",Infinite Monkeys,Infinite Monkeys,0,0,2016,5,2,0.75,0.7021276595744682,0.7333333333333333,0.6666666666666666,1,839,1586,124,47
3938,Rune Factory 3: A Fantasy Harvest Moon,Nintendo,"Action RPG, Action RPG, Role-Playing",Neverland,Natsume,3,0,2010,11,1,0.75,0.8617021276595747,0.8,0.8245614035087719,1,1113,2212,483,0
3939,Shank 2,"PC, PlayStation, Xbox","2D, Action, Beat-'Em-Up, Beat-'Em-Up",Klei Entertainment,Electronic Arts,0,0,2012,2,4,0.7310606060606061,0.6453900709219859,0.5864197530864198,0.49562526675202734,0,515,1746,93,43
3940,Far Cry Primal,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Shooter",Ubisoft Montreal,Ubisoft,0,0,2016,2,4,0.7348484848484849,0.7021276595744682,0.6667345000678334,0.5613895997457642,0,1764,3521,716,43
3941,Sanctum 2,"PC, Xbox","Action, Arcade, First-Person, Sci-Fi, Sci-Fi, Shooter, Shooter",Coffee Stain Studios,Reverb,0,0,2013,5,3,0.75,0.6223404255319149,0.7083333333333333,0.5022281639928698,0,1396,676,709,46
3942,Back 4 Blood,"PC, PlayStation, Xbox","Action, Arcade, First-Person, Shooter",Turtle Rock Studios,Warner Bros. Games,8,1,2021,10,4,0.7386363636363636,0.5531914893617021,0.7166149068322981,0.41950833561157386,0,1830,3489,716,43
3943,Sky Force Anniversary,"Nintendo, Xbox","Action, Shoot-'Em-Up, Shooter, Vertical",Infinite Dreams,Infinite Dreams,0,0,2016,12,2,0.6931818181818181,0.7180851063829787,0.5340909090909092,0.3472222222222222,0,837,1582,990,25
3944,Livelock,"PC, PlayStation, Xbox","Action, Shoot-'Em-Up, Shooter, Top-Down",Tuque Games,Perfect World Entertainment,0,0,2016,8,3,0.7045454545454546,0.7163120567375887,0.5904761904761905,0.5299145299145299,0,1245,3483,988,43
